date_key,year,quarter,month_number,month_name,month_label,year_month,zone_id,zone_name,region_group,site_count,population_coverage_estimate,zone_priority_level,component_id,component_name,activity_type,strategic_axis,unit_of_measure,manager_id,manager_name,team_name,role,seniority_level,planned_activities,completed_activities,target_beneficiaries,actual_beneficiaries,target_output_units,actual_output_units,reports_expected,reports_submitted,reports_submitted_on_time,open_issues,closed_issues,high_priority_alerts,planned_budget,spent_budget,committed_budget,variance_amount,variance_percent,activity_completion_rate,beneficiary_achievement_rate,output_achievement_rate,reporting_on_time_rate,budget_execution_rate,alert_flag
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01,Z01,Abidjan-Plateau,Afrique de l'Ouest,5,185000,High,C01,Mobilisation communautaire,Outreach,Engagement,Sessions,M01,A. Kouamé,Equipe Abidjan,Zone Manager,Senior,13,11,475,386,12,10,4,4,4,1,1,0,2634770,2152246,2181078,-482524,-18.3,0.8462,0.8126,0.8333,1.0,0.8169,0
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01,Z01,Abidjan-Plateau,Afrique de l'Ouest,5,185000,High,C02,Formation,Capacity Building,Skills,Participants,M01,A. Kouamé,Equipe Abidjan,Zone Manager,Senior,10,8,182,153,199,165,4,4,4,1,1,0,1725054,1805717,1860281,80663,4.7,0.8,0.8407,0.8291,1.0,1.0468,0
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01,Z01,Abidjan-Plateau,Afrique de l'Ouest,5,185000,High,C03,Suivi de terrain,Monitoring,Quality,Visits,M01,A. Kouamé,Equipe Abidjan,Zone Manager,Senior,17,14,0,0,15,12,4,4,4,3,3,0,2767042,2601215,2686308,-165827,-6.0,0.8235,,0.8,1.0,0.9401,0
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01,Z01,Abidjan-Plateau,Afrique de l'Ouest,5,185000,High,C04,Appui ciblé,Support,Results,Cases,M01,A. Kouamé,Equipe Abidjan,Zone Manager,Senior,10,8,174,148,152,123,4,4,4,1,1,0,1614028,1466482,1520005,-147546,-9.1,0.8,0.8506,0.8092,1.0,0.9086,0
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01,Z02,Dakar-Almadies,Afrique de l'Ouest,4,142000,Medium,C01,Mobilisation communautaire,Outreach,Engagement,Sessions,M02,S. Diallo,Equipe Dakar,Zone Manager,Senior,11,8,484,403,13,10,4,2,2,6,5,1,2434264,1908157,1951282,-526107,-21.6,0.7273,0.8326,0.7692,0.5,0.7839,1
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01,Z02,Dakar-Almadies,Afrique de l'Ouest,4,142000,Medium,C02,Formation,Capacity Building,Skills,Participants,M02,S. Diallo,Equipe Dakar,Zone Manager,Senior,9,5,220,110,200,105,4,2,2,5,4,2,1909929,1578563,1619161,-331366,-17.3,0.5556,0.5,0.525,0.5,0.8265,1
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01,Z02,Dakar-Almadies,Afrique de l'Ouest,4,142000,Medium,C03,Suivi de terrain,Monitoring,Quality,Visits,M02,S. Diallo,Equipe Dakar,Zone Manager,Senior,15,11,0,0,14,9,4,3,3,4,3,2,2818077,2184503,2230112,-633574,-22.5,0.7333,,0.6429,0.75,0.7752,1
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01,Z02,Dakar-Almadies,Afrique de l'Ouest,4,142000,Medium,C04,Appui ciblé,Support,Results,Cases,M02,S. Diallo,Equipe Dakar,Zone Manager,Senior,9,6,168,118,150,87,4,4,2,6,4,3,1519578,1105831,1158626,-413747,-27.2,0.6667,0.7024,0.58,0.5,0.7277,1
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01,Z03,Douala-Littoral,Afrique Centrale,6,167000,High,C01,Mobilisation communautaire,Outreach,Engagement,Sessions,M03,R. Mbarga,Equipe Douala,Zone Manager,Mid,12,10,503,434,13,11,4,4,4,1,1,0,2435680,2350124,2388235,-85556,-3.5,0.8333,0.8628,0.8462,1.0,0.9649,0
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01,Z03,Douala-Littoral,Afrique Centrale,6,167000,High,C02,Formation,Capacity Building,Skills,Participants,M03,R. Mbarga,Equipe Douala,Zone Manager,Mid,9,7,205,165,201,164,4,4,4,3,3,0,1743089,1519729,1562255,-223360,-12.8,0.7778,0.8049,0.8159,1.0,0.8719,1
